treatment,plant,day,num_sdb
control,1,0.041666667,3
control,1,0.166666667,3
control,1,0.333333333,4
control,1,1,1
control,1,2,0
control,1,3,0
control,1,4,0
control,1,5,0
control,1,6,0
control,1,7,0
control,1,8,0
control,1,9,0
control,1,10,0
control,1,11,0
control,1,12,0
control,1,14,0
control,1,15,0
control,1,16,0
control,1,17,0
control,1,18,0
control,1,19,0
control,1,20,0
control,1,21,0
control,1,22,0
control,1,23,0
control,1,24,0
control,1,25,0
control,1,26,0
control,1,27,0
control,1,28,0
control,1,29,0
control,1,30,0
control,1,31,0
control,1,32,0
control,1,33,0
control,1,34,0
control,10,0.041666667,1
control,10,0.166666667,1
control,10,0.333333333,1
control,10,1,0
control,10,2,0
control,10,3,0
control,10,4,0
control,10,5,1
control,10,6,0
control,10,7,0
control,10,8,0
control,10,9,0
control,10,10,0
control,10,11,0
control,10,12,0
control,10,14,0
control,10,15,0
control,10,16,0
control,10,17,0
control,10,18,0
control,10,19,0
control,10,20,0
control,10,21,0
control,10,22,0
control,10,23,0
control,10,24,0
control,10,25,0
control,10,26,0
control,10,27,0
control,10,28,0
control,10,29,0
control,10,30,0
control,10,31,0
control,10,32,0
control,10,33,0
control,10,34,0
control,14,0.041666667,0
control,14,0.166666667,2
control,14,0.333333333,0
control,14,1,1
control,14,2,1
control,14,3,0
control,14,4,0
control,14,5,0
control,14,6,0
control,14,7,0
control,14,8,0
control,14,9,0
control,14,10,0
control,14,11,0
control,14,12,0
control,14,14,0
control,14,15,0
control,14,16,0
control,14,17,0
control,14,18,0
control,14,19,0
control,14,20,0
control,14,21,0
control,14,22,0
control,14,23,0
control,14,24,0
control,14,25,0
control,14,26,0
control,14,27,0
control,14,28,0
control,14,29,0
control,14,30,0
control,14,31,0
control,14,32,0
control,14,33,0
control,14,34,0
control,18,0.041666667,3
control,18,0.166666667,2
control,18,0.333333333,1
control,18,1,1
control,18,2,0
control,18,3,0
control,18,4,0
control,18,5,0
control,18,6,0
control,18,7,0
control,18,8,0
control,18,9,0
control,18,10,0
control,18,11,0
control,18,12,0
control,18,14,0
control,18,15,0
control,18,16,0
control,18,17,0
control,18,18,0
control,18,19,0
control,18,20,0
control,18,21,0
control,18,22,0
control,18,23,0
control,18,24,0
control,18,25,0
control,18,26,0
control,18,27,0
control,18,28,0
control,18,29,0
control,18,30,0
control,18,31,0
control,18,32,0
control,18,33,0
control,18,34,0
control,20,0.041666667,3
control,20,0.166666667,3
control,20,0.333333333,1
control,20,1,0
control,20,2,0
control,20,3,1
control,20,4,0
control,20,5,0
control,20,6,0
control,20,7,0
control,20,8,0
control,20,9,0
control,20,10,0
control,20,11,0
control,20,12,0
control,20,14,0
control,20,15,0
control,20,16,0
control,20,17,0
control,20,18,0
control,20,19,0
control,20,20,0
control,20,21,0
control,20,22,0
control,20,23,0
control,20,24,0
control,20,25,0
control,20,26,0
control,20,27,0
control,20,28,0
control,20,29,0
control,20,30,0
control,20,31,0
control,20,32,0
control,20,33,0
control,20,34,0
control,25,0.041666667,1
control,25,0.166666667,1
control,25,0.333333333,2
control,25,1,1
control,25,2,1
control,25,3,2
control,25,4,0
control,25,5,0
control,25,6,0
control,25,7,0
control,25,8,0
control,25,9,1
control,25,10,1
control,25,11,1
control,25,12,0
control,25,14,0
control,25,15,1
control,25,16,0
control,25,17,0
control,25,18,0
control,25,19,0
control,25,20,1
control,25,21,1
control,25,22,1
control,25,23,0
control,25,24,0
control,25,25,0
control,25,26,0
control,25,27,1
control,25,28,0
control,25,29,1
control,25,30,0
control,25,31,0
control,25,32,0
control,25,33,0
control,25,34,0
control,32,0.041666667,1
control,32,0.166666667,0
control,32,0.333333333,1
control,32,1,2
control,32,2,1
control,32,3,1
control,32,4,0
control,32,5,0
control,32,6,0
control,32,7,1
control,32,8,1
control,32,9,1
control,32,10,1
control,32,11,0
control,32,12,1
control,32,14,0
control,32,15,0
control,32,16,0
control,32,17,0
control,32,18,0
control,32,19,0
control,32,20,0
control,32,21,0
control,32,22,0
control,32,23,0
control,32,24,0
control,32,25,0
control,32,26,0
control,32,27,0
control,32,28,0
control,32,29,0
control,32,30,0
control,32,31,0
control,32,32,0
control,32,33,0
control,32,34,0
control,40,0.041666667,0
control,40,0.166666667,0
control,40,0.333333333,0
control,40,1,1
control,40,2,1
control,40,3,1
control,40,4,0
control,40,5,0
control,40,6,0
control,40,7,0
control,40,8,0
control,40,9,0
control,40,10,0
control,40,11,0
control,40,12,0
control,40,13,0
control,40,14,0
control,40,15,0
control,40,16,0
control,40,17,0
control,40,18,0
control,40,19,0
control,40,20,0
control,40,21,0
control,40,22,0
control,40,23,0
control,40,24,0
control,40,25,0
control,40,26,0
control,40,27,0
control,40,28,0
control,40,29,0
control,40,30,0
control,40,31,0
control,40,32,0
control,40,33,0
control,40,34,0
control,41,0.041666667,1.5
control,41,0.166666667,1.5
control,41,0.333333333,1.25
control,41,1,0.875
control,41,2,0.5
control,41,3,0.625
control,41,4,0
control,41,5,0.125
control,41,6,0
control,41,7,0.125
control,41,8,0.125
control,41,9,0.25
control,41,10,0.25
control,41,11,0.125
control,41,12,0.125
control,41,14,0
control,41,15,0.125
control,41,16,0
control,41,17,0
control,41,18,0
control,41,19,0
control,41,20,0.125
control,41,21,0.125
control,41,22,0.125
control,41,23,0
control,41,24,0
control,41,25,0
control,41,26,0
control,41,27,0.125
control,41,28,0
control,41,29,0.125
control,41,30,0
control,41,31,0
control,41,32,0
control,41,33,0
control,41,34,0
