shipment_date,trial_date,predator,treatment,tod,choice,choice_time
6/6/2024,6/7/2024,sdb,wheast_control,11:17,1,0
6/6/2024,6/7/2024,sdb,wheast_control,12:00,1,2:50
6/6/2024,6/7/2024,sdb,wheast_control,1:30,0,0:10
6/6/2024,6/7/2024,sdb,wheast_control,1:45,1,0:22
6/6/2024,6/7/2024,sdb,wheast_control,3:30,1,0:40
7/10/2024,7/12/2024,sdb,wheast_control,8:10,0,0
7/10/2024,7/12/2024,sdb,wheast_control,8:25,1,8:00
7/10/2024,7/12/2024,sdb,wheast_control,9:00,0,8:00
7/10/2024,7/12/2024,sdb,wheast_control,9:44,1,5:25
7/10/2024,7/12/2024,sdb,wheast_control,10:09,0,1:00
7/10/2024,7/12/2024,sdb,wheast_control,10:22,1,9:25
7/10/2024,7/12/2024,sdb,wheast_control,11:29,1,0:10
7/10/2024,7/12/2024,sdb,wheast_control,1:17,0,1:45
7/10/2024,7/15/2024,sdb,wheast_control,2:26,1,6:36
7/10/2024,7/15/2024,sdb,wheast_control,2:44,1,6:34
7/10/2024,7/15/2024,sdb,wheast_control,10:20,1,8:15
7/10/2024,7/15/2024,sdb,wheast_control,1:40,0,0:20
7/10/2024,7/15/2024,sdb,wheast_control,2:00,1,4:20
7/10/2024,7/15/2024,sdb,wheast_control,2:25,1,0:30
7/10/2024,7/15/2024,sdb,wheast_control,3:45,1,2:14
,7/18/2024,sdb,cmbs_control,,1,8:23
,7/18/2024,sdb,cmbs_control,,0,8:25
,7/18/2024,sdb,cmbs_control,,0,0:30
,7/18/2024,sdb,cmbs_control,,0,0:30
,7/18/2024,sdb,cmbs_control,,1,6:00
,7/18/2024,sdb,cmbs_control,,1,2:26
,7/24/2024,sdb,cmbs_control,,1,4:30
,7/24/2024,sdb,cmbs_control,,0,1:30
,7/24/2024,sdb,cmbs_control,,1,8:30
,7/24/2024,sdb,cmbs_control,,0,5:00
,7/30/2024,sdb,cmbs_control,,1,4:00
,7/30/2024,sdb,cmbs_control,,1,1:30
,7/30/2024,sdb,cmbs_control,,0,4:00
,7/29/2024,sdb,cmbs_control,,0,9:30
,7/29/2024,sdb,cmbs_control,,0,9:00
,7/29/2024,sdb,cmbs_control,,1,7:25
,7/29/2024,sdb,cmbs_control,,1,6:30
,7/29/2024,sdb,cmbs_control,,0,9:50
,7/29/2024,sdb,cmbs_control,,1,2:00
,7/29/2024,sdb,cmbs_control,,1,9:00
,7/30/2024,sdb,aphids_control,,1,1:50
,7/30/2024,sdb,aphids_control,,1,4:30
,7/30/2024,sdb,aphids_control,,1,1:30
,7/30/2024,sdb,aphids_control,,0,3:00
,7/30/2024,sdb,aphids_control,,0,6:20
,7/30/2024,sdb,aphids_control,,1,1:00
,7/30/2024,sdb,aphids_control,,1,9:30
,7/30/2024,sdb,aphids_control,,0,0:11
,7/30/2024,sdb,aphids_control,,1,6:50
,7/30/2024,sdb,aphids_control,,1,4:30
,7/30/2024,sdb,aphids_control,,0,4:30
,7/30/2024,sdb,aphids_control,,1,2:30
,7/30/2024,sdb,aphids_control,,1,2:30
,7/30/2024,sdb,aphids_control,,0,7:00
,7/30/2024,sdb,aphids_control,,1,3:40
,7/30/2024,sdb,aphids_control,,1,9:00
,7/30/2024,sdb,aphids_control,,0,5:00
,7/30/2024,sdb,aphids_control,,1,3:00
,7/30/2024,sdb,aphids_control,,1,2:00
,7/30/2024,sdb,aphids_control,,1,4:00
